Plobata010000001.1_cds_CAH3032177.1_1	Plobata00000001
Plobata010000024.1_cds_CAH3111977.1_9573	Plobata00020717
Plobata010000024.1_cds_CAH3111979.1_9574	Plobata00020718
Plobata010000024.1_cds_CAH3111981.1_9575	Plobata00020719
Plobata010000024.1_cds_CAH3111983.1_9576	Plobata00020720
Plobata010000024.1_cds_CAH3111985.1_9577	Plobata00020721
Plobata010000024.1_cds_CAH3111988.1_9578	Plobata00020722
Plobata010000024.1_cds_CAH3111990.1_9579	Plobata00020723
Plobata010000024.1_cds_CAH3111993.1_9580	Plobata00020726
Plobata010000024.1_cds_CAH3111996.1_9581	Plobata00020727
Plobata010000024.1_cds_CAH3111999.1_9582	Plobata00020728
Plobata010000024.1_cds_CAH3112002.1_9583	Plobata00020730
Plobata010000024.1_cds_CAH3112005.1_9584	Plobata00020731
Plobata010000024.1_cds_CAH3112008.1_9585	Plobata00020732
Plobata010000024.1_cds_CAH3112011.1_9586	Plobata00020733
Plobata010000024.1_cds_CAH3112014.1_9587	Plobata00020736
Plobata010000024.1_cds_CAH3112017.1_9588	Plobata00020737
Plobata010000024.1_cds_CAH3112020.1_9589	Plobata00020388
Plobata010000024.1_cds_CAH3112023.1_9590	Plobata00020389
Plobata010000024.1_cds_CAH3112026.1_9591	Plobata00020391
Plobata010000024.1_cds_CAH3112029.1_9592	Plobata00020392
Plobata010000024.1_cds_CAH3112032.1_9593	Plobata00020393
Plobata010000024.1_cds_CAH3112035.1_9594	Plobata00020394
Plobata010000024.1_cds_CAH3112038.1_9595	Plobata00020395
Plobata010000024.1_cds_CAH3112041.1_9596	Plobata00020396
Plobata010000024.1_cds_CAH3112044.1_9597	Plobata00020397
Plobata010000024.1_cds_CAH3112048.1_9598	Plobata00020398
Plobata010000024.1_cds_CAH3112051.1_9599	Plobata00020399
Plobata010000024.1_cds_CAH3112054.1_9600	Plobata00020400
Plobata010000024.1_cds_CAH3112057.1_9601	Plobata00020402
Plobata010000024.1_cds_CAH3112060.1_9602	Plobata00020403
Plobata010000024.1_cds_CAH3112063.1_9603	Plobata00020404
Plobata010000024.1_cds_CAH3112066.1_9604	Plobata00020405
Plobata010000024.1_cds_CAH3112069.1_9605	Plobata00020406
Plobata010000024.1_cds_CAH3112073.1_9606	Plobata00020408
Plobata010000024.1_cds_CAH3112076.1_9607	Plobata00020409
Plobata010000024.1_cds_CAH3112079.1_9608	Plobata00020410
Plobata010000024.1_cds_CAH3112082.1_9609	Plobata00020411
Plobata010000024.1_cds_CAH3112085.1_9610	Plobata00020412
Plobata010000024.1_cds_CAH3112087.1_9611	Plobata00020413
Plobata010000024.1_cds_CAH3112089.1_9612	Plobata00020414
Plobata010000024.1_cds_CAH3112091.1_9613	Plobata00020415
Plobata010000024.1_cds_CAH3112093.1_9614	Plobata00020416
Plobata010000024.1_cds_CAH3112095.1_9615	Plobata00020417
Plobata010000024.1_cds_CAH3112097.1_9616	Plobata00020418
Plobata010000024.1_cds_CAH3112099.1_9617	Plobata00020419
Plobata010000024.1_cds_CAH3112101.1_9618	Plobata00020420
Plobata010000024.1_cds_CAH3112103.1_9619	Plobata00020421
Plobata010000024.1_cds_CAH3112105.1_9620	Plobata00020422
Plobata010000024.1_cds_CAH3112107.1_9621	Plobata00020423
Plobata010000024.1_cds_CAH3112111.1_9622	Plobata00020425
Plobata010000024.1_cds_CAH3112114.1_9623	Plobata00020426
Plobata010000024.1_cds_CAH3112117.1_9624	Plobata00020427
Plobata010000024.1_cds_CAH3112120.1_9625	Plobata00020428
Plobata010000024.1_cds_CAH3112123.1_9626	Plobata00020429
Plobata010000024.1_cds_CAH3112126.1_9627	Plobata00020430
Plobata010000024.1_cds_CAH3112129.1_9628	Plobata00020432
Plobata010000024.1_cds_CAH3112132.1_9629	Plobata00020433
Plobata010000024.1_cds_CAH3112135.1_9630	Plobata00020435
Plobata010000024.1_cds_CAH3112139.1_9631	Plobata00020437
Plobata010000024.1_cds_CAH3112142.1_9632	Plobata00020436
Plobata010000024.1_cds_CAH3112145.1_9633	Plobata00020438
Plobata010000024.1_cds_CAH3112148.1_9634	Plobata00020440
Plobata010000024.1_cds_CAH3112151.1_9635	Plobata00020441
Plobata010000024.1_cds_CAH3112154.1_9636	Plobata00020439
Plobata010000024.1_cds_CAH3112157.1_9637	Plobata00020445
Plobata010000024.1_cds_CAH3112160.1_9638	Plobata00020443
Plobata010000024.1_cds_CAH3112163.1_9639	Plobata00020444
Plobata010000024.1_cds_CAH3112166.1_9640	Plobata00020447
Plobata010000024.1_cds_CAH3112169.1_9641	Plobata00020448
Plobata010000024.1_cds_CAH3112172.1_9642	Plobata00020449
Plobata010000025.1_cds_CAH3112423.1_9643	Plobata00021279
Plobata010000025.1_cds_CAH3112426.1_9644	Plobata00021509
Plobata010000025.1_cds_CAH3112429.1_9645	Plobata00021540
Plobata010000025.1_cds_CAH3112432.1_9646	Plobata00021571
Plobata010000025.1_cds_CAH3112435.1_9647	Plobata00021360
Plobata010000025.1_cds_CAH3112438.1_9648	Plobata00021373
Plobata010000025.1_cds_CAH3112441.1_9649	Plobata00021391
Plobata010000025.1_cds_CAH3112444.1_9650	Plobata00021395
Plobata010000025.1_cds_CAH3112447.1_9651	Plobata00021410
Plobata010000025.1_cds_CAH3112450.1_9652	Plobata00021415
Plobata010000025.1_cds_CAH3112453.1_9653	Plobata00021434
Plobata010000025.1_cds_CAH3112456.1_9654	Plobata00021435
Plobata010000025.1_cds_CAH3112459.1_9655	Plobata00021445
Plobata010000025.1_cds_CAH3112462.1_9656	Plobata00021451
Plobata010000025.1_cds_CAH3112465.1_9657	Plobata00021468
Plobata010000025.1_cds_CAH3112468.1_9658	Plobata00021474
Plobata010000025.1_cds_CAH3112470.1_9659	Plobata00021487
Plobata010000025.1_cds_CAH3112472.1_9660	Plobata00021494
Plobata010000025.1_cds_CAH3112474.1_9661	Plobata00021501
Plobata010000025.1_cds_CAH3112476.1_9662	Plobata00021505
Plobata010000025.1_cds_CAH3112478.1_9663	Plobata00021510
Plobata010000025.1_cds_CAH3112480.1_9664	Plobata00021519
Plobata010000025.1_cds_CAH3112482.1_9665	Plobata00021521
Plobata010000025.1_cds_CAH3112484.1_9666	Plobata00021550
Plobata010000025.1_cds_CAH3112488.1_9667	Plobata00021565
Plobata010000025.1_cds_CAH3112491.1_9668	Plobata00021576
Plobata010000025.1_cds_CAH3112494.1_9669	Plobata00021572
Plobata010000025.1_cds_CAH3112497.1_9670	Plobata00021316
Plobata010000025.1_cds_CAH3112500.1_9671	Plobata00021351
Plobata010000025.1_cds_CAH3112503.1_9672	Plobata00021354
Plobata010000025.1_cds_CAH3112506.1_9673	Plobata00021280
Plobata010000025.1_cds_CAH3112509.1_9674	Plobata00021358
Plobata010000025.1_cds_CAH3112512.1_9675	Plobata00021359
Plobata010000025.1_cds_CAH3112515.1_9676	Plobata00021363
Plobata010000025.1_cds_CAH3112518.1_9677	Plobata00021364
Plobata010000025.1_cds_CAH3112521.1_9678	Plobata00021365
Plobata010000025.1_cds_CAH3112524.1_9679	Plobata00021366
Plobata010000025.1_cds_CAH3112527.1_9680	Plobata00021368
Plobata010000025.1_cds_CAH3112530.1_9681	Plobata00021369
Plobata010000025.1_cds_CAH3112534.1_9682	Plobata00021370
Plobata010000025.1_cds_CAH3112537.1_9683	Plobata00021371
Plobata010000025.1_cds_CAH3112539.1_9684	Plobata00021372
Plobata010000025.1_cds_CAH3112541.1_9685	Plobata00021374
Plobata010000025.1_cds_CAH3112543.1_9686	Plobata00021375
Plobata010000025.1_cds_CAH3112545.1_9687	Plobata00021377
Plobata010000025.1_cds_CAH3112547.1_9688	Plobata00021379
Plobata010000025.1_cds_CAH3112549.1_9689	Plobata00021380
Plobata010000025.1_cds_CAH3112551.1_9690	Plobata00021381
Plobata010000025.1_cds_CAH3112553.1_9691	Plobata00021382
Plobata010000025.1_cds_CAH3112555.1_9692	Plobata00021383
Plobata010000025.1_cds_CAH3112558.1_9693	Plobata00021384
Plobata010000025.1_cds_CAH3112561.1_9694	Plobata00021385
Plobata010000025.1_cds_CAH3112564.1_9695	Plobata00021386
Plobata010000025.1_cds_CAH3112567.1_9696	Plobata00021387
Plobata010000025.1_cds_CAH3112570.1_9697	Plobata00021388
Plobata010000025.1_cds_CAH3112573.1_9698	Plobata00021389
Plobata010000025.1_cds_CAH3112576.1_9699	Plobata00021390
Plobata010000025.1_cds_CAH3112579.1_9700	Plobata00021392
Plobata010000025.1_cds_CAH3112582.1_9701	Plobata00021393
Plobata010000025.1_cds_CAH3112585.1_9702	Plobata00021394
Plobata010000025.1_cds_CAH3112588.1_9703	Plobata00021396
Plobata010000025.1_cds_CAH3112591.1_9704	Plobata00021397
Plobata010000025.1_cds_CAH3112594.1_9705	Plobata00021398
Plobata010000025.1_cds_CAH3112597.1_9706	Plobata00021400
Plobata010000025.1_cds_CAH3112600.1_9707	Plobata00021401
Plobata010000025.1_cds_CAH3112603.1_9708	Plobata00021402
Plobata010000025.1_cds_CAH3112606.1_9709	Plobata00021404
Plobata010000025.1_cds_CAH3112609.1_9710	Plobata00021405
Plobata010000025.1_cds_CAH3112612.1_9711	Plobata00021406
Plobata010000025.1_cds_CAH3112615.1_9712	Plobata00021407
Plobata010000025.1_cds_CAH3112618.1_9713	Plobata00021408
Plobata010000025.1_cds_CAH3112621.1_9714	Plobata00021409
Plobata010000025.1_cds_CAH3112624.1_9715	Plobata00021411
Plobata010000025.1_cds_CAH3112627.1_9716	Plobata00021412
Plobata010000025.1_cds_CAH3112631.1_9717	Plobata00021413
Plobata010000025.1_cds_CAH3112634.1_9718	Plobata00021414
Plobata010000025.1_cds_CAH3112637.1_9719	Plobata00021416
Plobata010000025.1_cds_CAH3112640.1_9720	Plobata00021417
Plobata010000025.1_cds_CAH3112643.1_9721	Plobata00021419
Plobata010000025.1_cds_CAH3112646.1_9722	Plobata00021420
Plobata010000025.1_cds_CAH3112649.1_9723	Plobata00021422
Plobata010000025.1_cds_CAH3112652.1_9724	Plobata00021423
Plobata010000025.1_cds_CAH3112656.1_9725	Plobata00021424
Plobata010000025.1_cds_CAH3112659.1_9726	Plobata00021425
Plobata010000025.1_cds_CAH3112662.1_9727	Plobata00021427
Plobata010000025.1_cds_CAH3112665.1_9728	Plobata00021428
Plobata010000025.1_cds_CAH3112669.1_9729	Plobata00021429
Plobata010000025.1_cds_CAH3112672.1_9730	Plobata00021430
Plobata010000025.1_cds_CAH3112675.1_9731	Plobata00021431
Plobata010000025.1_cds_CAH3112677.1_9732	Plobata00021432
Plobata010000025.1_cds_CAH3112679.1_9733	Plobata00021433
Plobata010000025.1_cds_CAH3112681.1_9734	Plobata00021436
Plobata010000025.1_cds_CAH3112683.1_9735	Plobata00021437
Plobata010000025.1_cds_CAH3112685.1_9736	Plobata00021438
Plobata010000025.1_cds_CAH3112687.1_9737	Plobata00021439
Plobata010000025.1_cds_CAH3112689.1_9738	Plobata00021442
Plobata010000025.1_cds_CAH3112692.1_9739	Plobata00021441
Plobata010000025.1_cds_CAH3112695.1_9740	Plobata00021440
Plobata010000025.1_cds_CAH3112698.1_9741	Plobata00021444
Plobata010000025.1_cds_CAH3112701.1_9742	Plobata00021443
Plobata010000025.1_cds_CAH3112704.1_9743	Plobata00021446
Plobata010000025.1_cds_CAH3112707.1_9744	Plobata00021447
Plobata010000025.1_cds_CAH3112710.1_9745	Plobata00021448
Plobata010000025.1_cds_CAH3112713.1_9746	Plobata00021450
Plobata010000025.1_cds_CAH3112716.1_9747	Plobata00021452
Plobata010000025.1_cds_CAH3112719.1_9748	Plobata00021453
Plobata010000025.1_cds_CAH3112723.1_9749	Plobata00021456
Plobata010000025.1_cds_CAH3112726.1_9750	Plobata00021457
Plobata010000025.1_cds_CAH3112728.1_9751	Plobata00021458
Plobata010000025.1_cds_CAH3112731.1_9752	Plobata00021459
Plobata010000025.1_cds_CAH3112734.1_9753	Plobata00021461
Plobata010000025.1_cds_CAH3112737.1_9754	Plobata00021462
Plobata010000025.1_cds_CAH3112740.1_9755	Plobata00021467
Plobata010000025.1_cds_CAH3112743.1_9756	Plobata00021469
Plobata010000025.1_cds_CAH3112746.1_9757	Plobata00021470
Plobata010000025.1_cds_CAH3112749.1_9758	Plobata00021471
Plobata010000025.1_cds_CAH3112752.1_9759	Plobata00021472
Plobata010000025.1_cds_CAH3112755.1_9760	Plobata00021473
Plobata010000025.1_cds_CAH3112759.1_9761	Plobata00021475
Plobata010000025.1_cds_CAH3112762.1_9762	Plobata00021476
Plobata010000025.1_cds_CAH3112765.1_9763	Plobata00021477
Plobata010000025.1_cds_CAH3112769.1_9764	Plobata00021478
Plobata010000025.1_cds_CAH3112772.1_9765	Plobata00021479
Plobata010000025.1_cds_CAH3112775.1_9766	Plobata00021480
Plobata010000025.1_cds_CAH3112778.1_9767	Plobata00021481
Plobata010000025.1_cds_CAH3112781.1_9768	Plobata00021484
Plobata010000025.1_cds_CAH3112784.1_9769	Plobata00021482
Plobata010000025.1_cds_CAH3112787.1_9770	Plobata00021485
Plobata010000025.1_cds_CAH3112791.1_9771	Plobata00021486
Plobata010000025.1_cds_CAH3112793.1_9772	Plobata00021490
Plobata010000025.1_cds_CAH3112795.1_9773	Plobata00021491
Plobata010000025.1_cds_CAH3112797.1_9774	Plobata00021492
Plobata010000025.1_cds_CAH3112799.1_9775	Plobata00021493
Plobata010000025.1_cds_CAH3112801.1_9776	Plobata00021495
Plobata010000025.1_cds_CAH3112803.1_9777	Plobata00021496
Plobata010000025.1_cds_CAH3112805.1_9778	Plobata00021497
Plobata010000025.1_cds_CAH3112807.1_9779	Plobata00021498
Plobata010000025.1_cds_CAH3112809.1_9780	Plobata00021499
Plobata010000025.1_cds_CAH3112812.1_9781	Plobata00021502
Plobata010000025.1_cds_CAH3112815.1_9782	Plobata00021503
Plobata010000025.1_cds_CAH3112819.1_9783	Plobata00021504
Plobata010000025.1_cds_CAH3112822.1_9784	Plobata00021506
Plobata010000025.1_cds_CAH3112825.1_9785	Plobata00021507
Plobata010000025.1_cds_CAH3112828.1_9786	Plobata00021512
Plobata010000025.1_cds_CAH3112831.1_9787	Plobata00021513
Plobata010000025.1_cds_CAH3112834.1_9788	Plobata00021514
Plobata010000025.1_cds_CAH3112837.1_9789	Plobata00021516
Plobata010000025.1_cds_CAH3112841.1_9790	Plobata00021515
Plobata010000025.1_cds_CAH3112844.1_9791	Plobata00021517
Plobata010000025.1_cds_CAH3112847.1_9792	Plobata00021518
Plobata010000025.1_cds_CAH3112850.1_9793	Plobata00021520
Plobata010000025.1_cds_CAH3112853.1_9794	Plobata00021522
Plobata010000025.1_cds_CAH3112856.1_9795	Plobata00021523
Plobata010000025.1_cds_CAH3112859.1_9796	Plobata00021524
Plobata010000025.1_cds_CAH3112862.1_9797	Plobata00021525
Plobata010000025.1_cds_CAH3112865.1_9798	Plobata00021527
Plobata010000025.1_cds_CAH3112868.1_9799	Plobata00021528
Plobata010000025.1_cds_CAH3112871.1_9800	Plobata00021529
Plobata010000025.1_cds_CAH3112874.1_9801	Plobata00021530
Plobata010000025.1_cds_CAH3112877.1_9802	Plobata00021531
Plobata010000025.1_cds_CAH3112880.1_9803	Plobata00021534
Plobata010000025.1_cds_CAH3112882.1_9804	Plobata00021533
Plobata010000025.1_cds_CAH3112884.1_9805	Plobata00021535
Plobata010000025.1_cds_CAH3112886.1_9806	Plobata00021536
Plobata010000025.1_cds_CAH3112888.1_9807	Plobata00021537
Plobata010000025.1_cds_CAH3112890.1_9808	Plobata00021539
Plobata010000025.1_cds_CAH3112892.1_9809	Plobata00021541
Plobata010000025.1_cds_CAH3112894.1_9810	Plobata00021542
Plobata010000025.1_cds_CAH3112896.1_9811	Plobata00021544
Plobata010000025.1_cds_CAH3112898.1_9812	Plobata00021545
Plobata010000025.1_cds_CAH3112901.1_9813	Plobata00021546
Plobata010000025.1_cds_CAH3112904.1_9814	Plobata00021547
Plobata010000025.1_cds_CAH3112907.1_9815	Plobata00021549
Plobata010000025.1_cds_CAH3112911.1_9816	Plobata00021551
Plobata010000025.1_cds_CAH3112914.1_9817	Plobata00021552
Plobata010000025.1_cds_CAH3112917.1_9818	Plobata00021555
Plobata010000025.1_cds_CAH3112921.1_9819	Plobata00021557
Plobata010000025.1_cds_CAH3112924.1_9820	Plobata00021556
Plobata010000025.1_cds_CAH3112927.1_9821	Plobata00021558
Plobata010000025.1_cds_CAH3112930.1_9822	Plobata00021559
Plobata010000025.1_cds_CAH3112933.1_9823	Plobata00021561
Plobata010000025.1_cds_CAH3112936.1_9824	Plobata00021562
Plobata010000025.1_cds_CAH3112939.1_9825	Plobata00021563
Plobata010000025.1_cds_CAH3112942.1_9826	Plobata00021566
Plobata010000025.1_cds_CAH3112945.1_9827	Plobata00021567
Plobata010000025.1_cds_CAH3112948.1_9828	Plobata00021568
Plobata010000025.1_cds_CAH3112951.1_9829	Plobata00021569
Plobata010000025.1_cds_CAH3112954.1_9830	Plobata00021570
Plobata010000025.1_cds_CAH3112957.1_9831	Plobata00021573
Plobata010000025.1_cds_CAH3112960.1_9832	Plobata00021575
Plobata010000025.1_cds_CAH3112963.1_9833	Plobata00021577
Plobata010000025.1_cds_CAH3112966.1_9834	Plobata00021579
Plobata010000025.1_cds_CAH3112969.1_9835	Plobata00021581
Plobata010000025.1_cds_CAH3112972.1_9836	Plobata00021582
Plobata010000025.1_cds_CAH3112975.1_9837	Plobata00021583
Plobata010000025.1_cds_CAH3112978.1_9838	Plobata00021585
Plobata010000025.1_cds_CAH3112980.1_9839	Plobata00021584
Plobata010000025.1_cds_CAH3112982.1_9840	Plobata00021586
Plobata010000025.1_cds_CAH3112984.1_9841	Plobata00021587
Plobata010000025.1_cds_CAH3112986.1_9842	Plobata00021588
Plobata010000025.1_cds_CAH3112988.1_9843	Plobata00021591
Plobata010000025.1_cds_CAH3112990.1_9844	Plobata00021592
Plobata010000025.1_cds_CAH3112993.1_9845	Plobata00021593
Plobata010000025.1_cds_CAH3112996.1_9846	Plobata00021594
Plobata010000025.1_cds_CAH3112999.1_9847	Plobata00021595
Plobata010000025.1_cds_CAH3113002.1_9848	Plobata00021596
Plobata010000025.1_cds_CAH3113005.1_9849	Plobata00021281
Plobata010000025.1_cds_CAH3113008.1_9850	Plobata00021282
Plobata010000025.1_cds_CAH3113012.1_9851	Plobata00021283
Plobata010000025.1_cds_CAH3113015.1_9852	Plobata00021284
Plobata010000025.1_cds_CAH3113018.1_9853	Plobata00021285
Plobata010000025.1_cds_CAH3113021.1_9854	Plobata00021286
Plobata010000025.1_cds_CAH3113024.1_9855	Plobata00021287
Plobata010000025.1_cds_CAH3113027.1_9856	Plobata00021289
Plobata010000025.1_cds_CAH3113030.1_9857	Plobata00021290
Plobata010000025.1_cds_CAH3113033.1_9858	Plobata00021291
Plobata010000025.1_cds_CAH3113036.1_9859	Plobata00021292
Plobata010000025.1_cds_CAH3113039.1_9860	Plobata00021293
Plobata010000025.1_cds_CAH3113042.1_9861	Plobata00021294
Plobata010000025.1_cds_CAH3113045.1_9862	Plobata00021296
Plobata010000025.1_cds_CAH3113048.1_9863	Plobata00021297
Plobata010000025.1_cds_CAH3113052.1_9864	Plobata00021298
Plobata010000025.1_cds_CAH3113055.1_9865	Plobata00021299
Plobata010000025.1_cds_CAH3113058.1_9866	Plobata00021300
Plobata010000025.1_cds_CAH3113061.1_9867	Plobata00021301
Plobata010000025.1_cds_CAH3113063.1_9868	Plobata00021302
Plobata010000025.1_cds_CAH3113065.1_9869	Plobata00021303
Plobata010000025.1_cds_CAH3113067.1_9870	Plobata00021304
Plobata010000025.1_cds_CAH3113069.1_9871	Plobata00021305
Plobata010000025.1_cds_CAH3113071.1_9872	Plobata00021306
Plobata010000025.1_cds_CAH3113073.1_9873	Plobata00021307
Plobata010000025.1_cds_CAH3113075.1_9874	Plobata00021308
Plobata010000025.1_cds_CAH3113078.1_9875	Plobata00021309
Plobata010000025.1_cds_CAH3113081.1_9876	Plobata00021310
Plobata010000025.1_cds_CAH3113084.1_9877	Plobata00021311
Plobata010000025.1_cds_CAH3113087.1_9878	Plobata00021312
Plobata010000025.1_cds_CAH3113090.1_9879	Plobata00021313
Plobata010000025.1_cds_CAH3113093.1_9880	Plobata00021314
Plobata010000025.1_cds_CAH3113096.1_9881	Plobata00021315
Plobata010000025.1_cds_CAH3113100.1_9882	Plobata00021318
Plobata010000025.1_cds_CAH3113103.1_9883	Plobata00021319
Plobata010000025.1_cds_CAH3113106.1_9884	Plobata00021320
Plobata010000025.1_cds_CAH3113109.1_9885	Plobata00021321
Plobata010000025.1_cds_CAH3113112.1_9886	Plobata00021322
Plobata010000025.1_cds_CAH3113115.1_9887	Plobata00021323
Plobata010000025.1_cds_CAH3113118.1_9888	Plobata00021324
Plobata010000025.1_cds_CAH3113121.1_9889	Plobata00021325
Plobata010000025.1_cds_CAH3113124.1_9890	Plobata00021326
Plobata010000025.1_cds_CAH3113127.1_9891	Plobata00021327
Plobata010000025.1_cds_CAH3113130.1_9892	Plobata00021328
Plobata010000025.1_cds_CAH3113132.1_9893	Plobata00021329
Plobata010000025.1_cds_CAH3113134.1_9894	Plobata00021330
Plobata010000025.1_cds_CAH3113136.1_9895	Plobata00021331
Plobata010000025.1_cds_CAH3113138.1_9896	Plobata00021332
Plobata010000025.1_cds_CAH3113140.1_9897	Plobata00021333
Plobata010000025.1_cds_CAH3113142.1_9898	Plobata00021334
Plobata010000025.1_cds_CAH3113144.1_9899	Plobata00021335
Plobata010000025.1_cds_CAH3113146.1_9900	Plobata00021336
Plobata010000025.1_cds_CAH3113149.1_9901	Plobata00021337
Plobata010000025.1_cds_CAH3113152.1_9902	Plobata00021338
Plobata010000025.1_cds_CAH3113155.1_9903	Plobata00021340
Plobata010000025.1_cds_CAH3113158.1_9904	Plobata00021341
Plobata010000025.1_cds_CAH3113161.1_9905	Plobata00021342
Plobata010000025.1_cds_CAH3113164.1_9906	Plobata00021344
Plobata010000025.1_cds_CAH3113167.1_9907	Plobata00021345
Plobata010000025.1_cds_CAH3113168.1_9908	Plobata00021346
Plobata010000025.1_cds_CAH3113171.1_9909	Plobata00021347
Plobata010000025.1_cds_CAH3113174.1_9910	Plobata00021350
Plobata010000025.1_cds_CAH3113177.1_9911	Plobata00021349
Plobata010000025.1_cds_CAH3113180.1_9912	Plobata00021352
Plobata010000025.1_cds_CAH3113183.1_9913	Plobata00021353
Plobata010000025.1_cds_CAH3113186.1_9914	Plobata00021355
Plobata010000025.1_cds_CAH3113189.1_9915	Plobata00021356
Plobata010000026.1_cds_CAH3113353.1_9916	Plobata00022014
Plobata010000026.1_cds_CAH3113354.1_9917	Plobata00022181
Plobata010000026.1_cds_CAH3113355.1_9918	Plobata00022015
Plobata010000026.1_cds_CAH3113356.1_9919	Plobata00022084
Plobata010000026.1_cds_CAH3113357.1_9920	Plobata00022107
Plobata010000026.1_cds_CAH3113358.1_9921	Plobata00022124
Plobata010000026.1_cds_CAH3113359.1_9922	Plobata00022144
Plobata010000026.1_cds_CAH3113360.1_9923	Plobata00022151
Plobata010000026.1_cds_CAH3113361.1_9924	Plobata00022184
Plobata010000026.1_cds_CAH3113363.1_9925	Plobata00022211
Plobata010000026.1_cds_CAH3113365.1_9926	Plobata00022223
Plobata010000026.1_cds_CAH3113367.1_9927	Plobata00022222
Plobata010000026.1_cds_CAH3113369.1_9928	Plobata00022232
Plobata010000026.1_cds_CAH3113371.1_9929	Plobata00022233
Plobata010000026.1_cds_CAH3113373.1_9930	Plobata00022245
Plobata010000026.1_cds_CAH3113375.1_9931	Plobata00022247
Plobata010000026.1_cds_CAH3113377.1_9932	Plobata00022258
Plobata010000026.1_cds_CAH3113379.1_9933	Plobata00022260
Plobata010000026.1_cds_CAH3113381.1_9934	Plobata00022267
Plobata010000026.1_cds_CAH3113383.1_9935	Plobata00022276
Plobata010000026.1_cds_CAH3113385.1_9936	Plobata00022017
Plobata010000026.1_cds_CAH3113387.1_9937	Plobata00022021
Plobata010000026.1_cds_CAH3113389.1_9938	Plobata00022028
Plobata010000026.1_cds_CAH3113391.1_9939	Plobata00022041
Plobata010000026.1_cds_CAH3113393.1_9940	Plobata00022045
Plobata010000026.1_cds_CAH3113395.1_9941	Plobata00022052
Plobata010000026.1_cds_CAH3113397.1_9942	Plobata00022071
Plobata010000026.1_cds_CAH3113399.1_9943	Plobata00022072
Plobata010000026.1_cds_CAH3113401.1_9944	Plobata00022074
Plobata010000026.1_cds_CAH3113402.1_9945	Plobata00022075
Plobata010000026.1_cds_CAH3113403.1_9946	Plobata00022076
Plobata010000026.1_cds_CAH3113404.1_9947	Plobata00022077
Plobata010000026.1_cds_CAH3113405.1_9948	Plobata00022078
Plobata010000026.1_cds_CAH3113406.1_9949	Plobata00022079
Plobata010000026.1_cds_CAH3113407.1_9950	Plobata00022080
Plobata010000026.1_cds_CAH3113408.1_9951	Plobata00022081
Plobata010000026.1_cds_CAH3113410.1_9952	Plobata00022082
Plobata010000026.1_cds_CAH3113412.1_9953	Plobata00022083
Plobata010000026.1_cds_CAH3113414.1_9954	Plobata00022085
Plobata010000026.1_cds_CAH3113416.1_9955	Plobata00022086
Plobata010000026.1_cds_CAH3113418.1_9956	Plobata00022087
Plobata010000026.1_cds_CAH3113420.1_9957	Plobata00022088
Plobata010000026.1_cds_CAH3113422.1_9958	Plobata00022089
Plobata010000026.1_cds_CAH3113424.1_9959	Plobata00022090
Plobata010000026.1_cds_CAH3113426.1_9960	Plobata00022091
Plobata010000026.1_cds_CAH3113428.1_9961	Plobata00022092
Plobata010000026.1_cds_CAH3113430.1_9962	Plobata00022093
Plobata010000026.1_cds_CAH3113432.1_9963	Plobata00022094
Plobata010000026.1_cds_CAH3113434.1_9964	Plobata00022095
Plobata010000026.1_cds_CAH3113436.1_9965	Plobata00022096
Plobata010000026.1_cds_CAH3113438.1_9966	Plobata00022097
Plobata010000026.1_cds_CAH3113440.1_9967	Plobata00022099
Plobata010000026.1_cds_CAH3113442.1_9968	Plobata00022100
Plobata010000026.1_cds_CAH3113444.1_9969	Plobata00022101
Plobata010000026.1_cds_CAH3113446.1_9970	Plobata00022102
Plobata010000026.1_cds_CAH3113448.1_9971	Plobata00022103
Plobata010000026.1_cds_CAH3113450.1_9972	Plobata00022104
Plobata010000026.1_cds_CAH3113452.1_9973	Plobata00022108
Plobata010000026.1_cds_CAH3113454.1_9974	Plobata00022109
Plobata010000026.1_cds_CAH3113456.1_9975	Plobata00022110
Plobata010000026.1_cds_CAH3113458.1_9976	Plobata00022111
Plobata010000026.1_cds_CAH3113459.1_9977	Plobata00022112
Plobata010000026.1_cds_CAH3113460.1_9978	Plobata00022113
Plobata010000026.1_cds_CAH3113461.1_9979	Plobata00022114
Plobata010000026.1_cds_CAH3113462.1_9980	Plobata00022117
Plobata010000026.1_cds_CAH3113463.1_9981	Plobata00022116
Plobata010000026.1_cds_CAH3113464.1_9982	Plobata00022118
Plobata010000026.1_cds_CAH3113465.1_9983	Plobata00022119
Plobata010000026.1_cds_CAH3113466.1_9984	Plobata00022121
Plobata010000026.1_cds_CAH3113467.1_9985	Plobata00022122
Plobata010000026.1_cds_CAH3113468.1_9986	Plobata00022123
Plobata010000026.1_cds_CAH3113469.1_9987	Plobata00022125
Plobata010000026.1_cds_CAH3113470.1_9988	Plobata00022126
Plobata010000026.1_cds_CAH3113472.1_9989	Plobata00022128
Plobata010000026.1_cds_CAH3113474.1_9990	Plobata00022129
Plobata010000026.1_cds_CAH3113476.1_9991	Plobata00022130
Plobata010000026.1_cds_CAH3113478.1_9992	Plobata00022131
Plobata010000026.1_cds_CAH3113480.1_9993	Plobata00022132
Plobata010000026.1_cds_CAH3113482.1_9994	Plobata00022133
Plobata010000026.1_cds_CAH3113484.1_9995	Plobata00022134
